gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
BnaC07G0252400WE,445.4192557,-0.598710892,0.102821135,-5.822838751,5.79E-09,2.10E-06
BnaC07G0268900WE,30.20876155,1.408412812,0.374381325,3.761973999,0.000168578,0.008106147
BnaC07G0274700WE,426.0250932,-0.519495447,0.115236223,-4.508091594,6.54E-06,0.000751448
BnaC07G0277900WE,129.4395986,-0.738865248,0.185060946,-3.992550914,6.54E-05,0.004146397
BnaC07G0279000WE,150.9806709,-0.600905207,0.18138994,-3.312781329,0.000923732,0.026026139
BnaC07G0287600WE,403.195165,0.880767126,0.118059188,7.460386138,8.63E-14,8.67E-11
BnaC07G0291700WE,69.92266681,0.808603581,0.213934504,3.779678201,0.000157031,0.007743266
BnaC07G0293000WE,9.809605705,2.889843452,0.789531175,3.660201833,0.000252017,0.010895499
BnaC07G0299300WE,83.77906289,0.770264399,0.198577955,3.878901853,0.000104929,0.005840828
BnaC07G0300400WE,33.65851374,1.439931653,0.40395933,3.564546098,0.000364486,0.014206815
BnaC07G0301900WE,868.3592156,0.545586417,0.144237886,3.782545838,0.000155232,0.007676298
BnaC07G0304700WE,266.7769964,-1.570036367,0.513707576,-3.056284235,0.002240987,0.046875349
BnaC07G0308600WE,7401.335778,-0.933290808,0.271691455,-3.435112853,0.000592307,0.019751826
BnaC07G0319200WE,99.88584668,0.642881216,0.175601537,3.661022721,0.00025121,0.010894258
BnaC07G0319800WE,105.3394328,-0.969715988,0.183898031,-5.273117848,1.34E-07,3.20E-05
BnaC07G0321200WE,157.0857658,0.601675087,0.196452626,3.062698118,0.002193512,0.046248785
BnaC07G0322800WE,300.0756892,1.2258968,0.384302132,3.189929737,0.001423074,0.034605715
BnaC07G0323300WE,51.88306449,-0.747495283,0.244572805,-3.056330333,0.002240643,0.046875349
BnaC07G0333300WE,52.73698506,-1.773141515,0.472122854,-3.755678208,0.000172873,0.008244419
BnaC07G0336800WE,617.0293076,-0.754525999,0.128839598,-5.856320646,4.73E-09,1.79E-06
BnaC07G0337200WE,107.959989,0.518713961,0.165339597,3.137263962,0.001705325,0.039266803
BnaC07G0339400WE,43.81962199,0.892979773,0.258775673,3.450787176,0.000558954,0.018959101
BnaC07G0340400WE,32.41598368,-1.318020917,0.312367965,-4.219449705,2.45E-05,0.00204157
BnaC07G0341600WE,38.58203329,-0.951265107,0.302422709,-3.145481737,0.001658135,0.038468301
BnaC07G0347000WE,4.577621183,5.103956035,1.161598027,4.39390901,1.11E-05,0.001163826
BnaC07G0347900WE,68.59708956,0.891101101,0.256007811,3.480757478,0.000499998,0.017504618
BnaC07G0350000WE,184.7288138,0.607817682,0.133480064,4.55362145,5.27E-06,0.000650037
BnaC07G0351400WE,43.1999803,-1.12162667,0.341640247,-3.283063633,0.001026855,0.027752159
BnaC07G0352200WE,206.1285548,0.873813313,0.279434872,3.12707325,0.001765559,0.040210902
BnaC07G0358400WE,70.2919547,-1.501263163,0.323915155,-4.634741964,3.57E-06,0.000483939
BnaC07G0359200WE,200.0297801,-1.324688114,0.405590214,-3.266075135,0.001090493,0.029007117
BnaC07G0366800WE,173.6271818,-0.982059511,0.244257609,-4.020589217,5.81E-05,0.003821625
BnaC07G0371700WE,14.13719917,1.532877267,0.430686666,3.559147258,0.000372061,0.01437343
BnaC07G0372900WE,204.8114134,1.097214099,0.182958634,5.997061046,2.01E-09,8.61E-07
